UID,versionId,beginLifeSpanVersion,CountryCode,observedPropertyDeterminandBiologyEQRCode,parameterWaterBodyCategory,parameterNCSWaterBodyType,parameterWFDIntercalibrationWaterBodyType,parameterNaturalAWBHMWB,parameterICStatusOfDeterminandBiologyEQR,parameterBoundaryValueClasses12,parameterBoundaryValueClasses23,parameterBoundaryValueClasses34,parameterBoundaryValueClasses45,procedureBiologicalAnalyticalMethodDescription,resultObservationStatus,remarks,waterbaseObservationStatus,waterbaseRemarks
288,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,GB,EEA_124-04-9,RW,F10086,,Natural,1,0.93,0.78,0.52,0.26,Using a microscope (with x100 objective) count all taxa until a total of 300 non-planktic valves have been reached,,F10086,A,
289,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,GB,EEA_124-04-9,RW,F10089,,Natural,1,0.93,0.78,0.52,0.26,Using a microscope (with x100 objective) count all taxa until a total of 300 non-planktic valves have been reached,,F10089,A,
290,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,GB,EEA_124-04-9,RW,F10101,,Natural,1,0.93,0.78,0.52,0.26,Using a microscope (with x100 objective) count all taxa until a total of 300 non-planktic valves have been reached,,F10101,A,
291,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,GB,EEA_124-04-9,RW,F10115,,Natural,1,0.93,0.78,0.52,0.26,Using a microscope (with x100 objective) count all taxa until a total of 300 non-planktic valves have been reached,,F10115,A,
292,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,GB,EEA_124-04-9,RW,F10128,,Natural,1,0.93,0.78,0.52,0.26,Using a microscope (with x100 objective) count all taxa until a total of 300 non-planktic valves have been reached,,F10128,A,
293,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,GB,EEA_124-04-9,RW,F10223,,HMWB,1,0.93,0.78,0.52,0.26,Using a microscope (with x100 objective) count all taxa until a total of 300 non-planktic valves have been reached,,F10223,A,
294,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,IT,EEA_124-04-9,RW,02SR2D,,Natural,1,0.85,0.7,0.6,0.5,,,MACROPHYTES,A,
295,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,IT,EEA_124-04-9,RW,02SR3F,,Natural,1,0.84,0.65,0.55,0.26,,,DIATOMS,A,
296,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,IT,EEA_124-04-9,RW,02SS1T,,Natural,1,0.85,0.7,0.6,0.5,,,MACROPHYTES,A,
297,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,IT,EEA_124-04-9,RW,02SS5F,,Natural,1,0.84,0.65,0.55,0.26,,,DIATOMS,A,
298,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,IT,EEA_124-04-9,RW,06AS6T,,Natural,1,0.9,0.8,0.65,0.5,,,MACROPHYTES,A,
299,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,IT,EEA_124-04-9,RW,06SS2T,,Natural,1,0.84,0.65,0.55,0.26,,,DIATOMS,A,
300,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,IT,EEA_124-04-9,RW,06SS4FSISI,,Natural,1,0.84,0.65,0.55,0.26,,,DIATOMS,A,
301,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,IT,EEA_124-04-9,RW,06SS4T,,Natural,1,0.84,0.65,0.55,0.26,,,DIATOMS,A,
302,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,IT,EEA_124-04-9,RW,06SS5D,,Natural,1,0.84,0.65,0.55,0.26,,,DIATOMS,A,
303,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,IT,EEA_124-04-9,RW,Ca,,Natural,1,0.9,0.8,0.65,0.5,,,,A,
304,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,IT,EEA_124-04-9,RW,Cb,,Natural,1,0.9,0.8,0.65,0.5,,,,A,
305,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,IT,EEA_124-04-9,RW,Cc,,Natural,1,0.9,0.8,0.65,0.5,,,,A,
306,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,IT,EEA_124-04-9,RW,MA,,Natural,1,0.9,0.8,0.65,0.5,,,,A,
307,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,IT,EEA_124-04-9,RW,Mf,,Natural,1,0.9,0.8,0.65,0.5,,,,A,
308,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,IT,EEA_13-01-4,RW,0,,AWB,1,0.95,0.71,0.48,0.24,http://www.irsa.cnr.it/Docs/Notiz/notiz2007_(03).pdf,,,A,
309,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,IT,EEA_13-01-4,RW,01GH1N,,Natural,1,0.95,0.71,0.48,0.24,D. Lgs. 152/2006 e smi,,,A,
310,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,IT,EEA_13-01-4,RW,01GH2N,,Natural,1,0.95,0.71,0.48,0.24,D. Lgs. 152/2006 e smi,,,A,
311,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,IT,EEA_13-01-4,RW,01GH4N,,Natural,1,0.95,0.71,0.48,0.24,D. Lgs. 152/2006 e smi,,,A,
312,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,IT,EEA_13-01-4,RW,01SS1N,,Natural,1,0.95,0.71,0.48,0.24,D. Lgs. 152/2006 e smi,,,A,
314,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,LU,EEA_123-01-3,RW,general,,Natural,1,,,,,IBMR - LU,,,U,U: wrong observedPropertyDeterminandBiologyEQRCode (BiologyEQRCode_ERROR)
343,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,PT,EEA_11-04-1,LW,Norte,,HMWB,1,,0.21,,,                                                                                              CEN/TC230/WG2/TG3 N108 EN 14996:2006.EN 15204:2006EN ISO 10260:1992                                    ,,,A,
344,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_124-04-9,RW,DO - me2,,Natural,1,0.81,0.56,0.38,0.25,,,,A,
345,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_124-04-9,RW,FH - me2,,Natural,1,0.81,0.56,0.38,0.25,,,,A,
346,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_124-04-9,RW,GF - me2,,Natural,1,0.81,0.56,0.38,0.25,,,,A,
347,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_124-04-9,RW,GG - me2,,Natural,1,0.81,0.56,0.38,0.25,,,,A,
348,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_124-04-9,RW,IB - me1,,Natural,1,0.85,0.57,0.45,0.32,,,,A,
349,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_124-04-9,RW,KH - ot,,Natural,1,0.87,0.68,0.56,0.43,,,,A,
350,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_124-04-9,RW,KV - om,,Natural,1,0.88,0.61,0.47,0.33,,,,A,
351,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_124-04-9,RW,MT - me2,,Natural,1,0.81,0.56,0.38,0.25,,,,A,
352,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_124-04-9,RW,SA - ot,,Natural,1,0.87,0.68,0.56,0.43,,,,A,
353,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_124-04-9,RW,UZA - om,,Natural,1,0.88,0.61,0.47,0.33,,,,A,
354,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_124-04-9,RW,UZA - ot,,Natural,1,0.87,0.68,0.56,0.43,,,,A,
355,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_124-04-9,RW,VAV - mt,,Natural,1,0.9,0.63,0.51,0.35,,,,A,
356,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_13-01-4,RW,"AF - 1,75",,Natural,1,0.8,0.6,0.4,0.2,,,,A,
357,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_13-01-4,RW,"AM - 1,75",,Natural,1,0.8,0.6,0.4,0.2,,,,A,
358,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_13-01-4,RW,"AV - 1,75",,Natural,1,0.8,0.6,0.4,0.2,,,,A,
359,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_13-01-4,RW,"BR - 1,75",,Natural,1,0.8,0.6,0.4,0.2,,,,A,
360,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_13-01-4,RW,"DO - 1,75",,Natural,1,0.8,0.6,0.4,0.2,,,,A,
361,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_13-01-4,RW,DO - 2,,Natural,1,0.8,0.6,0.4,0.2,,,,A,
362,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_13-01-4,RW,"FH - 1,75",,Natural,1,0.8,0.6,0.4,0.2,,,,A,
363,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_03410,,Natural,1,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,,A,
364,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_03450,,Natural,1,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,,A,
365,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_03510,,Natural,0,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,We are now able to propose 17;5 as reference value and 12 as G-M boundary for this IC type,A,
366,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_03522,,Natural,0,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,We are now able to propose 17;5 as reference value and 12 as G-M boundary for this IC type,A,
367,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_03550,,Natural,1,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,,A,
368,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_03570,,Natural,0,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,We are now able to propose 17;5 as reference value and 12 as G-M boundary for this IC type,A,
369,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_03621,,Natural,1,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,,A,
370,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_03651,,Natural,1,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,,A,
371,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_03700,,Natural,1,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,,A,
372,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_03771,,Natural,0,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,We are now able to propose 17;5 as reference value and 12 as G-M boundary for this IC type,A,
373,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_03801,,Natural,1,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,,A,
374,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_03803,,Natural,0,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,No reference value,A,
375,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_03820,,Natural,1,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,,A,
376,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_03833,,Natural,0,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,We are now able to propose 17;5 as reference value and 12 as G-M boundary for this IC type,A,
377,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_03850,,HMWB,0,,0.67,0.47,0.27,"""toothbrush"" samplings",,The class boundaries are adapted for the HMWB (EP),A,
378,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_15006,,Natural,0,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,We are now able to propose 17;5 as reference value and 12 as G-M boundary for this IC type,A,
379,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_15022,,Natural,0,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,We are now able to propose 17;5 as reference value and 12 as G-M boundary for this IC type,A,
380,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_15024,,Natural,0,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,We are now able to propose 17;5 as reference value and 12 as G-M boundary for this IC type,A,
381,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_15050,,Natural,0,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,No reference value,A,
382,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_15053,,Natural,1,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,,A,
383,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_15057,,Natural,1,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,,A,
384,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_40000,,Natural,0,0.94,0.75,0.5,0.31,"""toothbrush"" samplings",,We propose 16 (IBGN) as reference value and 12 for the G-M boundary after the study of historical data (samples collected during the years 1940'),A,
385,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_40017,,Natural,0,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,We are now able to propose 17;5 as reference value and 12 as G-M boundary for this IC type,A,
386,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_40032,,Natural,0,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,We are now able to propose 17;5 as reference value and 12 as G-M boundary for this IC type,A,
387,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_40038,,Natural,0,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,No reference value,A,
388,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_40039,,Natural,0,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,We are now able to propose 17;5 as reference value and 12 as G-M boundary for this IC type,A,
389,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_40053,,HMWB,0,,0.57,0.47,0.27,"""toothbrush"" samplings",,The class boundaries are adapted for the HMWB (EP),A,
390,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_40081,,Natural,1,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,,A,
391,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_40091,,Natural,0,0.94,0.75,0.5,0.31,"""toothbrush"" samplings",,We propose 16 (IBGN) as reference value and 12 for the G-M boundary after the study of historical data (samples collected during the years 1940'),A,
392,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_01395,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
393,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_01430,,Natural,0,0.94,0.75,0.5,0.31,handnet sampling (IBGN),,We propose 16 (IBGN) as reference value and 12 for the G-M boundary after the study of historical data (samples collected during the years 1940'),A,
394,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_01440,,HMWB,0,,0.57,0.47,0.27,handnet sampling (IBGN),,The class boundaries are adapted for the HMWB (EP),A,
395,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_01532,,AWB,0,,0.67,0.47,0.27,handnet sampling (IBGN),,The class boundaries are adapted for theartificial WB (EP),A,
396,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_01552,,HMWB,0,,0.57,0.47,0.27,artificial substrates (IBGA)and dredging,,The class boundaries are adapted for the HMWB (EP),A,
397,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_01561,,Natural,0,0.94,0.75,0.5,0.31,handnet sampling (IBGN),,We propose 16 (IBGN) as reference value and 12 for the G-M boundary after the study of historical data (samples collected during the years 1940'),A,
398,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_01565,,Natural,0,0.94,0.75,0.5,0.29,handnet sampling (IBGN),,We propose 16 (IBGN) as reference value and 12 for the G-M boundary after the study of historical data (samples collected during the years 1940'),A,
399,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_01670,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
400,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_01780,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
401,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_02049,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
402,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_02295,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
403,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_04388,,Natural,1,0.97,0.74,0.49,0.29,handnet sampling (IBGN),,,A,
404,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_04390,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
405,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_04430,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
406,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_04483,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
407,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_04511,,Natural,1,0.97,0.74,0.49,0.29,handnet sampling (IBGN),,,A,
408,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_04513,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
409,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_04532,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
410,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_04533,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
411,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_04630,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
412,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_04690,,Natural,1,0.97,0.73,0.49,0.3,handnet sampling (IBGN),,"Following the results of the second phase of IC exercise , we propose now 16,4(IPS) as reference value and 12 as the G-M boundary",A,
413,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_13-01-4,RW,BERW_04750,,Natural,1,0.97,0.74,0.49,0.29,handnet sampling (IBGN),,,A,
